"","n","p","k","AT.time","AT.error","AT.numit","LLM.time","LLM.error","LLM.numit"
"1",500,250,200,0.193906536102295,0.0331363744754129,127.04,0.229242341518402,0.0314759788167237,123.01
"2",500,1000,800,3.00703366756439,0.931344051540131,505.05,4.49289133310318,0.944717496174899,594.73
"3",100,50,40,0.0181675314903259,0.0592637623151712,110.33,0.0205693793296814,0.0587842506865682,105.63
"4",100,200,160,0.148219814300537,0.933050205753248,374.36,0.195083985328674,0.940491912245567,406.09
